#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	11138	10859	97.49	10	0.09	3	0.03	21	0.19	245	2.20
Ecoli	11138	11137	99.99	0	0.00	0	0.00	0	0.00	1	0.01
PhiX	11138	11138	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	11138	11136	99.98	0	0.00	0	0.00	0	0.00	2	0.02
Vectors	11138	11090	99.57	0	0.00	0	0.00	1	0.01	47	0.42
Bacteria_24k	11138	10898	97.85	7	0.06	22	0.20	9	0.08	202	1.81
Protists_1k	11138	10746	96.48	23	0.21	46	0.41	15	0.13	308	2.77
Viruses	11138	10958	98.38	0	0.00	0	0.00	11	0.10	169	1.52
Fungi_RefSeq_release	11138	10860	97.51	3	0.03	0	0.00	25	0.22	250	2.24
Coral	11138	10947	98.29	0	0.00	0	0.00	17	0.15	174	1.56
Bird	11138	10921	98.05	2	0.02	0	0.00	31	0.28	184	1.65
Plant	11138	10960	98.40	0	0.00	0	0.00	13	0.12	165	1.48

%Hit_no_genomes: 95.98
