#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	3808926	3741555	98.22	2636	0.07	579	0.02	7081	0.19	57075	1.50
Ecoli	3808926	3808918	100.00	0	0.00	0	0.00	6	0.00	2	0.00
PhiX	3808926	3808926	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	3808926	3808925	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	3808926	3801691	99.81	3	0.00	0	0.00	277	0.01	6955	0.18
Bacteria_24k	3808926	3765999	98.88	1545	0.04	1964	0.05	3593	0.09	35825	0.94
Protists_1k	3808926	3705789	97.30	10067	0.26	16880	0.44	3653	0.10	72537	1.90
Viruses	3808926	3773685	99.08	66	0.00	27	0.00	3209	0.08	31939	0.84
Fungi_RefSeq_release	3808926	3740643	98.21	1976	0.05	414	0.01	7781	0.20	58112	1.53
Coral	3808926	3765239	98.85	295	0.01	57	0.00	5259	0.14	38076	1.00
Bird	3808926	3755882	98.61	1247	0.03	173	0.00	7545	0.20	44079	1.16
Plant	3808926	3771019	99.00	370	0.01	53	0.00	4484	0.12	33000	0.87

%Hit_no_genomes: 96.93
