#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	729193	712581	97.72	498	0.07	150	0.02	1453	0.20	14511	1.99
Ecoli	729193	729192	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	729193	729193	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	729193	729193	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	729193	727204	99.72	1	0.00	0	0.00	55	0.01	1933	0.27
Bacteria_24k	729193	718315	98.51	224	0.03	308	0.04	773	0.11	9573	1.31
Protists_1k	729193	704708	96.65	1982	0.27	3812	0.52	601	0.08	18090	2.48
Viruses	729193	719455	98.67	15	0.00	10	0.00	787	0.11	8926	1.22
Fungi_RefSeq_release	729193	712249	97.67	352	0.05	115	0.02	1633	0.22	14844	2.04
Coral	729193	717845	98.44	49	0.01	13	0.00	1015	0.14	10271	1.41
Bird	729193	715909	98.18	282	0.04	40	0.01	1639	0.22	11323	1.55
Plant	729193	718953	98.60	66	0.01	9	0.00	975	0.13	9190	1.26

%Hit_no_genomes: 96.28
