#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	15861524	15461661	97.47	10687	0.07	2508	0.02	33149	0.21	353519	2.23
Ecoli	15861524	15861514	100.00	0	0.00	0	0.00	2	0.00	8	0.00
PhiX	15861524	15861524	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	15861524	15861514	100.00	0	0.00	0	0.00	3	0.00	7	0.00
Vectors	15861524	15818798	99.73	13	0.00	1	0.00	1116	0.01	41596	0.26
Bacteria_24k	15861524	15613361	98.43	2931	0.02	2591	0.02	18136	0.11	224505	1.42
Protists_1k	15861524	15291483	96.41	42018	0.26	82966	0.52	12404	0.08	432653	2.73
Viruses	15861524	15630179	98.54	397	0.00	163	0.00	18793	0.12	211992	1.34
Fungi_RefSeq_release	15861524	15454248	97.44	8109	0.05	2257	0.01	36649	0.23	360261	2.27
Coral	15861524	15594212	98.31	1117	0.01	304	0.00	24914	0.16	240977	1.52
Bird	15861524	15545124	98.00	5474	0.03	898	0.01	39115	0.25	270913	1.71
Plant	15861524	15609515	98.41	1437	0.01	243	0.00	24058	0.15	226271	1.43

%Hit_no_genomes: 96.09
