#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	14843	14536	97.93	8	0.05	1	0.01	36	0.24	262	1.77
Ecoli	14843	14843	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	14843	14843	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	14843	14843	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	14843	14812	99.79	0	0.00	0	0.00	0	0.00	31	0.21
Bacteria_24k	14843	14642	98.64	1	0.01	7	0.05	20	0.13	173	1.17
Protists_1k	14843	14396	96.99	27	0.18	68	0.46	16	0.11	336	2.26
Viruses	14843	14662	98.79	2	0.01	0	0.00	11	0.07	168	1.13
Fungi_RefSeq_release	14843	14525	97.86	5	0.03	3	0.02	39	0.26	271	1.83
Coral	14843	14640	98.63	0	0.00	1	0.01	22	0.15	180	1.21
Bird	14843	14604	98.39	6	0.04	0	0.00	37	0.25	196	1.32
Plant	14843	14658	98.75	0	0.00	0	0.00	18	0.12	167	1.13

%Hit_no_genomes: 96.67
