#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	965797	944147	97.77	614	0.06	137	0.01	1844	0.19	19055	1.97
Ecoli	965797	965795	100.00	0	0.00	0	0.00	0	0.00	2	0.00
PhiX	965797	965797	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	965797	965797	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	965797	963515	99.77	1	0.00	0	0.00	47	0.00	2234	0.23
Bacteria_24k	965797	952196	98.59	273	0.03	313	0.03	1055	0.11	11960	1.24
Protists_1k	965797	933926	96.70	2536	0.26	5007	0.52	762	0.08	23566	2.44
Viruses	965797	953374	98.72	17	0.00	17	0.00	1059	0.11	11330	1.17
Fungi_RefSeq_release	965797	943797	97.72	450	0.05	116	0.01	2132	0.22	19302	2.00
Coral	965797	951540	98.52	63	0.01	17	0.00	1371	0.14	12806	1.33
Bird	965797	948789	98.23	351	0.04	53	0.01	2283	0.24	14321	1.48
Plant	965797	952691	98.64	86	0.01	11	0.00	1312	0.14	11697	1.21

%Hit_no_genomes: 96.37
